,sector_actividad,count
0,educacion,21
1,construccion,20
2,formacion,13
3,formacion reglada,9
4,accion social,8
5,transporte mercancias carretera,8
6,comunidad autonoma aragon,7
7,ingenieria,5
8,sector metal,5
9,ensenanza formacion reglada,5
10,asesoria empresas,4
11,servicios sociales,4
12,consultoria formacion,4
13,transporte viajeros carretera,4
14,correduria seguros,4
15,servicios,4
16,ensenanza reglada,4
17,artes graficas,4
18,publicidad,3
19,aragon,3
20,cnae= servicios comida restauracion colectiva,3
21,instalaciones electricas,3
22,inmobiliaria,3
23,metal,3
24,agroalimentario,3
25,sector automocion,3
26,centro formacion,3
27,formacion empleo,3
28,seguridad privada,3
29,mujer accion social,3
30,ambito educativo,3
31,seguros,3
32,administracion publica,3
33,servicios comunidad servicios edificios,2
34,comercio mayor maquinaria equipo,2
35,distribucion,2
36,educacion formacion,2
37,textil,2
38,huesca provincia,2
39,tratamiento eliminacion residuos peligrosos,2
40,prestacion servicios gestion administrativa prestacion servicios asesoramiento fiscal laboral,2
41,silvicultura actividades forestales,2
42,marketing comunicacion,2
43,servicios sociales atencion persona,2
44,consultoria empresarial,2
45,sector sociosanitario,2
46,servicios sociales autonomico,2
47,gestor residuos peligrosos fabricacion fertilizantes,2
48,insercion laboral personas situacion riesgo exclusion social,2
49,servicios juridicos,2
50,socio sanitario,2
51,desarrollo rural,2
52,multisectorial,2
53,energias renovables,2
54,consultoria informatica,2
55,asociacionismo,2
56,tratamiento aguas,2
57,instalacion mantenimiento sistemas proteccion incendios,2
58,tic,2
59,consultoria,2
60,inyeccion plasticos,2
61,sanidad,2
62,discapacidad,2
63,comunicacion,2
64,industrial,2
65,transporte viajeros,2
66,servicios arquitectura urbanismo,2
67,actividades deportivas,2
68,sociosanitario,2
69,limpieza edificios locales,2
70,comercial,2
71,intersectorial ambito provincial,2
72,hosteleria,2
73,servicios vending,2
74,sector inmobiliario,2
75,formacion consultoria,2
76,entidad publica,2
77,barnizados lacados piezas madera,1
78,industrial recuperacion metales ferricos,1
79,transporte distribucion almacenaje mercancias temperatura controlada,1
80,diseno desarrollo maquinaria sector agrario,1
81,servicios consultoria formacion liderazgo empresas emprendedores coaching mentorias,1
82,pertenece sector actividades acabado edificios actividades montaje cerramientos metalicos impermeabilizacion obras construccion obras albanileria,1
83,consultora tecnologica especializada sector retail,1
84,quimico diseno fabricacion comercializacion productos quimicos tratamiento superficies aguas residuales,1
85,suministro industrial productos servicios soluciones mantenimiento industrial fabricacion bienes equipo proteccion trabajador,1
86,sector principal alojamientos turisticos extrahorteleros casa ecoturismo rural alojamiento compartido sectores complementarios ensenanzas establecimiento permanente formaciones talleres fabricacion textil fibras recuperacion artesania,1
87,sector industrial mineria roca alabastro uso ornamental,1
88,industria manufacturera sector ferroviario,1
89,mercados provincia zaragoza,1
90,sector metal fabricacion estructuras metalicas componentes,1
91,transformacion quimica,1
92,agencias publicidad,1
93,gestion administracion propiedad inmobiliaria,1
94,fabricacion montaje estructuras metalicas,1
95,deporte actividad fisica,1
96,gestion nuevas tecnologias pyme asociaciones pymes autonomos desarrollo web mantenimiento hardware software & redes informaticas gestion cloud computing hosting & rss,1
97,servicios consultoria ingenieria mecanica,1
98,actividades construccion especializada,1
99,empresa dedicada sector servicios concretamente transporte viajeros carretera,1
100,i+d,1
101,atencion integral personas discapacidad intelectual,1
102,fabricacion comercializacion distribucion equipamiento cuarto bano mobiliario,1
103,consultora financiera estrategica,1
104,corredores seguros,1
105,sector fabricacion textil,1
106,transformacion vidrio diferentes sectores construccion industrial mueble automocion,1
107,club deportivo montana somontano provincia huesca,1
108,alquiler venta mobiliario decoracion eventos,1
109,sector juguete,1
110,investigacion desarrollo experimental biotecnologia,1
111,moda sostenible reutilizacion textil arreglos textil emocional,1
112,carpinteria madera construccion decoracion,1
113,servicios publicidad relaciones publicas similares ensenanza formacion perfeccionamiento profesional superior,1
114,gft desarrolla soluciones sostenibles medio nuevas tecnologias ingenieria cloud ia blockchain dlt profunda experiencia tecnologica conocimientos mercado solidas alianzas gft ofrece asesoramiento sectores financiero asegurador asi industria manufacturera,1
115,actividad principal actividades programacion informatica actividades actividades apoyo empresas n c p actividades alojamientos turisticos extrahoteleros,1
116,agente seguros exclusivo,1
117,construccion arquitectura diseno interiores diseno grafico,1
118,construccion obra civil construccion conservacion mantenimiento explotacion toda clase obra publica privada realizando trabajos necesarios ello movimiento tierras perforaciones puentes viaductos grandes estructuras edificaciones demoliciones albanileria gen,1
119,accion social mujer juventud deporte,1
120,socioasistencial sociosanitario sociolaboral incidencia tambien formacion profesionales vayan tratar colectivos atendemos,1
121,madera fabricacion,1
122,administracion publica gestion municipal poblacion,1
123,diseno grafico branding diseno web diseno aplicaciones marca online offline,1
124,limpieza mantenimiento profesional industrias empresas comunidades,1
125,agriculture forestry and fishing,1
126,CNAE 5510 hosteleria cnae,1
127,fundacion desarrollara principalmente actividades territorio espanol cuanto ambito personal sector poblacion atendida actuacion fundacion circunscribe poblacion estudiantil adulta personas tercera edad,1
128,accion social formacion sensibilizacion,1
129,sector comercio grandes almacenes,1
130,suministro agricola industrial instalaciones venta online,1
131,sistemas electricos iluminacion vehiculos industriales,1
132,consultoria servicios ingenieria orientada principalmente soporte tecnico sector energetico abarcando asesoramiento gestion total parte tecnica backoffice administrativo operativo servicios auditara incluso desarrollo soluciones adaptadas,1
133,fabricacion moldes inyeccion plastico,1
134,fabricante equipos climatizacion,1
135,CNAE 6209 ebrosarium sl empresa dedicada tecnologia marketing formacion clasifica dentro codigo cnae servicios relacionados tecnologias informacion informatica clasificacion justifica siguientes razones actividades principales estan relacionadas prestacion servicios tecnologia informacion * desarrollo software creamos medida software empresas organizaciones adaptandonos necesidades especificas * implementacion soluciones tecnologicas ayudamos empresas integrar nuevas tecnologias procesos operaciones * mantenimiento sistemas informaticos encargamos correcto funcionamiento sistemas informaticos clientes * consultoria informatica asesoramos empresas toma decisiones relacionadas tecnologias informacion tambien ofrecemos servicios marketing formacion estan estrechamente relacionados tecnologias informacion * marketing digital creamos implementamos estrategias marketing digital ayudar empresas llegar clientes potenciales * formacion tecnologias informacion ofrecemos cursos talleres personas puedan aprender utilizar nuevas tecnologias definitiva todas actividades objetivo ayudar empresas organizaciones aprovechar maximo potencial tecnologias informacion,1
136,comercio mayor madera materiales construccion aparatos sanitarios,1
137,distribucion material laboratorio,1
138,diseno grafico web marketing digital,1
139,marketing comunicacion agencia audiovisual,1
140,extrusion inyeccion plastico,1
141,construccion reformas,1
142,industria sector metal provincia zaragoza,1
143,fabricacion comercio pan bolleria pasteleria,1
144,fab estructuras metalicas construcc completa obras civiles commay materiales construccion,1
145,ferreteria suministros drogueria pintura,1
146,venta vehiculos renault dacia venta vehiculos seminuevos usados venta piezas recambio servicio reparacion mecanica electricidad coches furgonetas combustion hibridas electricos taller chapa pintura servicio rapido mnatenimiento servicio rapido neumaticos alquiler coches conductor,1
147,industria alimentacion fabricacion galletas productos panaderia pasteleria larga duracion,1
148,aiot,1
149,sector mueble,1
150,empresa aprovecha residuos manufactura alabastro producir aridos diversa granulometria aridos estan constituidos principalmente yeso microcristalino gran pureza empresa aplica economia circular torno residuos industria alabastro aridos usados usos agricolas enmienda calcica fertilizante usos ganaderos cama ganado usos industriales base obtencion productos yeso cocido escayolas cementos gran calidad ademas empezando comercializar productos carga plasticos composites basicamente intenso color blanco,1
151,transporte sanitario transporte enfermos accidentados ambulancia,1
152,operacion mantenimiento parques eolicos,1
153,parques atracciones museos,1
154,arquitectura,1
155,individualizacion consumos instalacion suministro lectura dispositivos medicion agua caliente sanitaria calefaccion energia fria caliente comunidades propietarios,1
156,CNAE 0161 sector empresa agricola cnae actividades apoyo agricultura,1
157,gestion inmobiliaria,1
158,gestion investigacion desarrollo elaboracion proyectos estudios campo solicitudes autorizaciones administrativas instalacion parques eolicos explotacion,1
159,centro educacion infantil cei,1
160,distribucion productos maquinaria limpieza,1
161,seguros inversion,1
162,suministros electricos electronicos dpto ingenieria,1
163,almacenamiento transporte temperatura controlada,1
164,comercio mayor menor productos alimentacion bebidas,1
165,principal actividad desempena empresa asesoramiento consultoria realizacion tipo tramites agricolas,1
166,desarrollamos actividades mensajeria logistica tienda venta reparacion bicicletas asesoria laboral fiscal contable consultoria asesoramiento empresas,1
167,distribucion productos informaticos servicios tic programacion servicios web desarrollo webs apps posicionamiento sem seo consultoria proteccion datos marketing,1
168,CNAE 4669 cnae,1
169,abogado consultor proteccion datos,1
170,fabricacion mobiliario cocina bano armario empotrado,1
171,elaboracion transformacion productos pesca extractiva acuicultura frescos congelados venta distribucion,1
172,sector artes graficas manipulados papel manipulados carton editoriales industrias auxiliares,1
173,CNAE: 2561 sector industria tecnologia servicios metal bop zaragoza actividad tratamiento recubrimiento metales cnae tratamiento revestimiento metales,1
174,venta menor libros papeleria,1
175,industria quimica fabricacion botellas gas industrial,1
176,instalacion mantenimiento sistemas seguridad proteccion incendio,1
177,sociosanitario comunidad autonoma aragon,1
178,servicio publico taxi,1
179,consultoria negocio marketing digital formacion,1
180,asesoria torres despacho abogados mas anos actividad encargamos ofrecer asesoria juridica fiscal contable laboral ademas facilitamos cualquier tramite servicio personalizado,1
181,empresa animaciones infantiles eventos garantizamos peques diviertan maximo especialistas celebracion cumpleanos infantiles fiestas tematicas mas atendemos bodas bautizos comuniones halloween carnaval todas ocasiones especiales,1
182,ofrecemos rapidez soluciones energeticas eficientes calidad priorizamos atencion plena personalizada clientes queden satisfechos conformes servicio prestado,1
183,empresa especializada ofrecer amplia gama tarjetas graficas proporcionamos servicios incluyen ensamblaje computadoras venta componentes individuales atencion pedidos especiales extendemos alcance mas alla clientes individuales ofreciendo ventas mayor tiendas servicios extienden mas alla zaragoza alcanzando clientes toda espana europa,1
